TOKEN	WEIGHT
future	-0.01639199314467329
something	-0.016378660345405575
private	-0.016315020352927208
Nation	-0.01627460683971022
rate	-0.01619387125768557
agree	-0.016186260332650713
object	-0.016178735064751454
health	-0.01615210989732521
considered	-0.01615060882135691
things	-0.016125486169563042
offer	-0.016068238226312623
political	-0.016012561057727095
least	-0.015936509366240623
means	-0.015910551528784296
pass	-0.01582895296258451
received	-0.01582214984456009
end	-0.015811057833507662
high	-0.01578816765939058
opinion	-0.015765926168423226
children	-0.015741177565978818
U.S.	-0.015735098165547485
citizens	-0.01573057414877429
printed	-0.01572717720863731
Does	-0.015704924032954686
War	-0.015680243531365125
language	-0.015631444156786772
home	-0.015626586951575955
General	-0.015605826695889622
page	-0.015565522945869863
came	-0.01556285470560684
asked	-0.015456905988289612
full	-0.015450041486399996
Will	-0.015443525530189666
continue	-0.015425970740646864
Commission	-0.015362929775291958
found	-0.015257172456218548
economic	-0.01524444288891977
These	-0.01523168313300412
yet	-0.015201853488219182
District	-0.015195745458589949
dollars	-0.015184296363686135
California	-0.015169823065232959
city	-0.015119776296248758
thank	-0.015067967672365528
past	-0.015052913790424059
Constitution	-0.015013044110003666
property	-0.015008608220605674
cases	-0.014967436427183784
Army	-0.014967030499244782
bring	-0.014930572195856195
anything	-0.014892537239611882
session	-0.014807802478054003
particular	-0.014776843855689689
change	-0.014769384514305539
agreed	-0.014762530482652216
labor	-0.014762041563283061
[	-0.014715353305569088
regard	-0.014667429513389639
rise	-0.014641609400705002
Texas	-0.014543902750426427
office	-0.014540837650597086
period	-0.014524921748180616
either	-0.01451645877163561
letter	-0.014499737580317943
You	-0.01448294689312462
Illinois	-0.014466548637195376
district	-0.014464628313723077
provides	-0.014430614487595377
Ohio	-0.014406297105100361
doing	-0.014360812254293349
special	-0.014201964890918671
several	-0.014200566031682443
Republican	-0.014144582169548047
correct	-0.014108628988137615
party	-0.014096672680064665
-	-0.014088808122134847
proper	-0.013999016575433865
held	-0.013985185057361656
strike	-0.013981159701079743
pending	-0.013978805045122758
trade	-0.013945256369360032
always	-0.013942424257235466
view	-0.013934304449261956
itself	-0.013904586288554033
purposes	-0.013854545066940041
second	-0.013829219332665017
plan	-0.013805924251592518
proposition	-0.013802968998825523
become	-0.013787557953634143
local	-0.013768603286217145
answer	-0.013746698109201915
brought	-0.013728809660782708
North	-0.013713776263586651
4	-0.013690629106562342
